User name;Service;Expiry;Download limit;Upload limit;Total limit;Uptime limit;CPE IP;CM IP;CM MAC;First name;Last name;Company;Address;City;ZIP;Country;State;Phone;Cell number;Email;Registered;Last logoff;Comment
"cinci";"MB prepaid";"never";"370.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"cmuser1";"Cable 4096/1024";"2012-02-13";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.7";"11:22:11:22:11:22";"";"";"";"";"";"";"";"";"";"";"";"2012-02-13";"";""
"cojanovicm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.8";"00:1b:dd:99:00:82";"";"";"";"";"";"";"";"";"";"";"";"2012-02-02";"";""
"csodakatica";"MB prepaid";"never";"495.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csokifix";"MB prepaid";"never";"981.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csuvik";"MB prepaid";"never";"1.4 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csuvikr";"MB prepaid";"never";"718.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"cude";"MB prepaid";"never";"848.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"culibrkm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.9";"00:1b:dd:9a:bf:16";"";"";"";"";"";"";"";"";"";"";"";"2011-12-19";"";""
"culibrks";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.10";"00:12:25:80:60:8a";"";"";"";"";"";"";"";"";"";"";"";"2012-01-16";"";""
"culibrkv";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.11";"00:13:71:d6:b5:9c";"";"";"";"";"";"";"";"";"";"";"";"2012-01-30";"";""
"dalibor";"MB prepaid";"never";"1.0 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dane";"MB prepaid";"never";"801.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"darkx";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"davorimaja";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dcivric";"MB prepaid";"never";"21.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"demo";"MB prepaid";"never";"1 000.0 MB";"no limit";"no limit";"no limit";"";"";"";"Demo user";"";"";"";"New York";"";"";"";"+394-564-4541";"";"";"2012-02-17";"";""
"denitoni";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"desko";"MB prepaid";"never";"832.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dgyula";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"djordjevics";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.12";"00:1a:ad:74:95:f4";"";"";"";"";"";"";"";"";"";"";"";"2011-10-26";"";""
"djura";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.13";"00:12:c9:f9:03:38";"";"";"";"";"";"";"";"";"";"";"";"2011-09-15";"";""
"dmx";"Monthly 1 GB prepaid";"2006-04-01";"3.3 GB";"1.2 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dobai";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dobrijevicd";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.14";"00:1a:ad:80:01:d0";"";"";"";"";"";"";"";"";"";"";"";"2011-10-04";"";""
"dobrotka";"MB prepaid";"never";"1.9 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dody";"MB prepaid";"never";"332.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drbor";"MB prepaid";"never";"1.6 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drvarga";"MB prepaid";"never";"501.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drymix";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dusica";"Monthly 1 GB prepaid";"2006-04-01";"1.2 GB";"2.4 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"edina";"MB prepaid";"never";"928.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ephemeron";"MB prepaid";"never";"264.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"erno";"MB prepaid";"never";"821.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"eszti";"MB prepaid";"never";"355.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"evalaci";"MB prepaid";"never";"1.1 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"familykiss";"MB prepaid";"never";"574.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ferenclaci";"MB prepaid";"never";"1.2 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"filipovica";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.15";"00:18:c0:28:01:5a";"";"";"";"";"";"";"";"";"";"";"";"2011-12-15";"";""
"glamocaninj";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.16";"00:13:71:e5:75:24";"";"";"";"";"";"";"";"";"";"";"";"2012-02-01";"";""
"goga";"MB prepaid";"never";"29.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"gordos";"MB prepaid";"never";"613.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"gordos.eva";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"grizli";"MB prepaid";"never";"565.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"gugu";"Flat 768k prepaid";"2006-04-01";"no limit";"no limit";"no limit";"no limit";"192.168.111.12";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"gylaszlo";"MB prepaid";"never";"1.3 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"hedi";"MB prepaid";"never";"71.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"hemol";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"herbie";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"hermi";"MB prepaid";"never";"1.4 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"hlavinkak";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.17";"00:14:e8:a4:3d:2c";"";"";"";"";"";"";"";"";"";"";"";"2011-10-13";"";""
"holi";"MB prepaid";"never";"449.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"igiboy";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"imre";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"inna";"MB prepaid";"never";"996.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"istvan";"MB prepaid";"never";"8.5 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ivana";"Monthly 1 GB prepaid";"2006-04-01";"1.5 GB";"3.1 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ivica";"MB prepaid";"never";"1.4 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"jdavid";"MB prepaid";"never";"285.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"johag";"Monthly 1 GB prepaid";"2006-04-01";"1.4 GB";"1.8 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"josip";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2011-11-29";"";""
"jovcicd";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.18";"00:0f:9f:bc:04:1c";"";"";"";"";"";"";"";"";"";"";"";"2011-10-24";"";""
"juhaspro";"MB prepaid";"never";"413.3 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"juli";"MB prepaid";"never";"132.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kaloper";"MB prepaid";"never";"168.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kaludjerovics";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.19";"00:1a:ad:73:f4:bc";"";"";"";"";"";"";"";"";"";"";"";"2011-10-04";"";""
"kancsar";"MB prepaid";"never";"1 020.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kati";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kitanovicj";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.20";"00:18:c0:25:8f:50";"";"";"";"";"";"";"";"";"";"";"";"2011-11-26";"";""
"kocka";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kojicb";"Monthly 1 GB prepaid";"2006-04-01";"1.6 GB";"3.9 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"konjevic";"Monthly 1 GB prepaid";"2006-04-01";"1.0 GB";"1.1 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kopasza";"MB prepaid";"never";"110.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kornel";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kosa";"MB prepaid";"never";"1.2 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kosuticm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.21";"00:1a:ad:87:33:02";"";"";"";"";"";"";"";"";"";"";"";"2011-11-28";"";""
"koszo";"MB prepaid";"never";"78.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kovacs";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kozmalali";"MB prepaid";"never";"927.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kracsunz";"MB prepaid";"never";"4.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"kranjec";"MB prepaid";"never";"100.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"krempaticz";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.22";"00:1a:ad:81:22:72";"";"";"";"";"";"";"";"";"";"";"";"2011-10-19";"";""
"lac";"MB prepaid";"never";"1.2 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"lehocki";"MB prepaid";"never";"200.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"lehockia";"MB prepaid";"never";"750.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"leontina";"MB prepaid";"never";"60.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ljubinka";"MB prepaid";"never";"209.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"lobar";"MB prepaid";"never";"110.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"lpg";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"lukicl";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.23";"00:1a:ad:72:27:54";"";"";"";"";"";"";"";"";"";"";"";"2011-11-28";"";""
"mago";"MB prepaid";"never";"1.4 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"makso";"MB prepaid";"never";"586.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"makvilati";"MB prepaid";"never";"476.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"maletaski";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mankom";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mano";"MB prepaid";"never";"100.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"marionora";"MB prepaid";"never";"931.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"markovic";"MB prepaid";"never";"748.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mart8";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"matezyu";"MB prepaid";"never";"10.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"melinda";"MB prepaid";"never";"2.0 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"meszaros";"MB prepaid";"never";"121.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"metalizacija";"MB prepaid";"never";"102.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"micsiz";"MB prepaid";"never";"2.2 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mihajlo";"MB prepaid";"never";"853.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mihaly";"MB prepaid";"never";"204.4 kB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"miklos";"MB prepaid";"never";"918.3 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"milos";"MB prepaid";"never";"787.6 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"misi";"MB prepaid";"never";"200.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"molprev";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mucsiz";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"mzmol";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"nemanja";"MB prepaid";"never";"23.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"neso";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"noncsi";"MB prepaid";"never";"610.3 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"norbi";"MB prepaid";"never";"1 011.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"orsika";"MB prepaid";"never";"10.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"otto";"MB prepaid";"never";"13.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"ozsvar";"MB prepaid";"never";"551.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pakosz";"MB prepaid";"never";"1.2 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"paptibi";"Monthly 1 GB prepaid";"2006-04-01";"1.1 GB";"1.1 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pauz";"MB prepaid";"never";"140.6 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pece";"MB prepaid";"never";"1.1 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pepsy";"MB prepaid";"never";"464.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pezse";"MB prepaid";"never";"74.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pinterm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.24";"00:1a:ad:7d:b9:a8";"";"";"";"";"";"";"";"";"";"";"";"2011-12-19";"";""
"plajos";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"pmilance";"MB prepaid";"never";"759.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"posze";"MB prepaid";"never";"401.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"predojevicd";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.25";"00:1a:ad:6e:a9:ca";"";"";"";"";"";"";"";"";"";"";"";"2011-10-19";"";""
"prizmaoptimizma";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"prodanovict";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.26";"00:13:71:db:4f:50";"";"";"";"";"";"";"";"";"";"";"";"2011-10-04";"";""
"profi";"IAS days";"0000-00-00";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"radok";"MB prepaid";"never";"8.3 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"rgf731";"Monthly 1 GB postpaid";"2006-04-01";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
