User name;Service;Expiry;Download limit;Upload limit;Total limit;Uptime limit;CPE IP;CM IP;CM MAC;First name;Last name;Company;Address;City;ZIP;Country;State;Phone;Cell number;Email;Registered;Last logoff;Comment
"cinci";"MB prepaid";"never";"370.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"cmuser1";"Cable 4096/1024";"2012-02-13";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.7";"11:22:11:22:11:22";"";"";"";"";"";"";"";"";"";"";"";"2012-02-13";"";""
"cojanovicm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.8";"00:1b:dd:99:00:82";"";"";"";"";"";"";"";"";"";"";"";"2012-02-02";"";""
"csodakatica";"MB prepaid";"never";"495.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csokifix";"MB prepaid";"never";"981.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csuvik";"MB prepaid";"never";"1.4 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"csuvikr";"MB prepaid";"never";"718.9 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"cude";"MB prepaid";"never";"848.5 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"culibrkm";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.9";"00:1b:dd:9a:bf:16";"";"";"";"";"";"";"";"";"";"";"";"2011-12-19";"";""
"culibrks";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.10";"00:12:25:80:60:8a";"";"";"";"";"";"";"";"";"";"";"";"2012-01-16";"";""
"culibrkv";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.11";"00:13:71:d6:b5:9c";"";"";"";"";"";"";"";"";"";"";"";"2012-01-30";"";""
"dalibor";"MB prepaid";"never";"1.0 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dane";"MB prepaid";"never";"801.8 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"darkx";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"davorimaja";"MB postpaid";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dcivric";"MB prepaid";"never";"21.2 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"demo";"MB prepaid";"never";"1 000.0 MB";"no limit";"no limit";"no limit";"";"";"";"Demo user";"";"";"";"New York";"";"";"";"+394-564-4541";"";"";"2012-02-17";"";""
"denitoni";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"desko";"MB prepaid";"never";"832.7 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dgyula";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"djordjevics";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.12";"00:1a:ad:74:95:f4";"";"";"";"";"";"";"";"";"";"";"";"2011-10-26";"";""
"djura";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.13";"00:12:c9:f9:03:38";"";"";"";"";"";"";"";"";"";"";"";"2011-09-15";"";""
"dmx";"Monthly 1 GB prepaid";"2006-04-01";"3.3 GB";"1.2 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dobai";"Default service";"never";"no limit";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dobrijevicd";"Cable 4096/1024";"2015-12-31";"no limit";"no limit";"no limit";"no limit";"";"10.0.0.14";"00:1a:ad:80:01:d0";"";"";"";"";"";"";"";"";"";"";"";"2011-10-04";"";""
"dobrotka";"MB prepaid";"never";"1.9 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dody";"MB prepaid";"never";"332.4 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drbor";"MB prepaid";"never";"1.6 GB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drvarga";"MB prepaid";"never";"501.0 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"drymix";"MB prepaid";"never";"0 B";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"dusica";"Monthly 1 GB prepaid";"2006-04-01";"1.2 GB";"2.4 GB";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
"edina";"MB prepaid";"never";"928.1 MB";"no limit";"no limit";"no limit";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"2012-02-17";"";""
